起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2018/08/24/00:00,2018/08/25/00:00,7.121653,5.197426
2018/08/24/00:00,2018/08/25/00:15,8.222756,6.103512
2018/08/24/00:00,2018/08/25/00:30,9.359379,6.976987
2018/08/24/00:00,2018/08/25/00:45,10.33616,7.4745893
2018/08/24/00:00,2018/08/25/01:00,11.34847,8.580163
2018/08/24/00:00,2018/08/25/01:15,12.11214,9.444101
2018/08/24/00:00,2018/08/25/01:30,12.91133,10.441705
2018/08/24/00:00,2018/08/25/01:45,13.63947,10.642385
2018/08/24/00:00,2018/08/25/02:00,14.261070000000002,11.029288
2018/08/24/00:00,2018/08/25/02:15,14.7761,10.9692
2018/08/24/00:00,2018/08/25/02:30,15.30889,11.176358
2018/08/24/00:00,2018/08/25/02:45,15.68184,12.270571
2018/08/24/00:00,2018/08/25/03:00,15.912720000000002,12.162114
2018/08/24/00:00,2018/08/25/03:15,16.19688,12.109333
2018/08/24/00:00,2018/08/25/03:30,16.56983,12.392078
2018/08/24/00:00,2018/08/25/03:45,16.836229,12.389199
2018/08/24/00:00,2018/08/25/04:00,16.836229,12.34322
2018/08/24/00:00,2018/08/25/04:15,16.836229,12.346099
2018/08/24/00:00,2018/08/25/04:30,16.729670000000002,12.1650505
2018/08/24/00:00,2018/08/25/04:45,16.56983,12.099179
2018/08/24/00:00,2018/08/25/05:00,16.51655,12.007525
2018/08/24/00:00,2018/08/25/05:15,16.26792,12.374414
2018/08/24/00:00,2018/08/25/05:30,15.7884,12.298305
2018/08/24/00:00,2018/08/25/05:45,15.29113,10.889269
2018/08/24/00:00,2018/08/25/06:00,14.81162,10.626166
2018/08/24/00:00,2018/08/25/06:15,13.621720000000002,10.605399
2018/08/24/00:00,2018/08/25/06:30,13.56844,10.56896
2018/08/24/00:00,2018/08/25/06:45,12.62717,10.463439
2018/08/24/00:00,2018/08/25/07:00,12.1299,10.114497
2018/08/24/00:00,2018/08/25/07:15,11.89902,9.79965
2018/08/24/00:00,2018/08/25/07:30,10.99327,8.896847
2018/08/24/00:00,2018/08/25/07:45,9.821133,8.29502
2018/08/24/00:00,2018/08/25/08:00,9.128503,7.228013
2018/08/24/00:00,2018/08/25/08:15,6.464543,6.3661594
2018/08/24/00:00,2018/08/25/08:30,6.091588,5.617127
2018/08/24/00:00,2018/08/25/08:45,5.754153,4.451331
2018/08/24/00:00,2018/08/25/09:00,4.280096,3.8970542
2018/08/24/00:00,2018/08/25/09:15,1.98909,2.8341746
2018/08/24/00:00,2018/08/25/09:30,1.580616,2.072287
2018/08/24/00:00,2018/08/25/09:45,1.172142,1.5237811
2018/08/24/00:00,2018/08/25/10:00,1.136623,0.86335206
2018/08/24/00:00,2018/08/25/10:15,0.532792,0.448107
2018/08/24/00:00,2018/08/25/10:30,0.159838,0.24014783
2018/08/24/00:00,2018/08/25/10:45,0.0,0.09506464
2018/08/24/00:00,2018/08/25/11:00,0.0,0.06355953
2018/08/24/00:00,2018/08/25/11:15,0.0,0.06355953
2018/08/24/00:00,2018/08/25/11:30,0.0,0.06355953
2018/08/24/00:00,2018/08/25/11:45,0.0,0.06355953
2018/08/24/00:00,2018/08/25/12:00,0.0,0.05003476
2018/08/24/00:00,2018/08/25/12:15,0.0,0.05003476
2018/08/24/00:00,2018/08/25/12:30,0.0,0.05003476
2018/08/24/00:00,2018/08/25/12:45,0.0,0.05003476
2018/08/24/00:00,2018/08/25/13:00,0.0,0.04796505
2018/08/24/00:00,2018/08/25/13:15,0.0,0.04796505
2018/08/24/00:00,2018/08/25/13:30,0.0,0.04796505
2018/08/24/00:00,2018/08/25/13:45,0.0,0.04796505
2018/08/24/00:00,2018/08/25/14:00,0.0,0.044537783
2018/08/24/00:00,2018/08/25/14:15,0.0,0.044537783
2018/08/24/00:00,2018/08/25/14:30,0.0,0.044537783
2018/08/24/00:00,2018/08/25/14:45,0.0,0.044537783
2018/08/24/00:00,2018/08/25/15:00,0.0,0.044537783
2018/08/24/00:00,2018/08/25/15:15,0.0,0.044537783
2018/08/24/00:00,2018/08/25/15:30,0.0,0.044537783
2018/08/24/00:00,2018/08/25/15:45,0.0,0.044537783
2018/08/24/00:00,2018/08/25/16:00,0.0,0.044537783
2018/08/24/00:00,2018/08/25/16:15,0.0,0.044537783
2018/08/24/00:00,2018/08/25/16:30,0.0,0.044537783
2018/08/24/00:00,2018/08/25/16:45,0.0,0.044537783
2018/08/24/00:00,2018/08/25/17:00,0.0,0.044537783
2018/08/24/00:00,2018/08/25/17:15,0.0,0.044537783
2018/08/24/00:00,2018/08/25/17:30,0.0,0.044537783
2018/08/24/00:00,2018/08/25/17:45,0.0,0.044537783
2018/08/24/00:00,2018/08/25/18:00,0.0,0.044537783
2018/08/24/00:00,2018/08/25/18:15,0.0,0.044537783
2018/08/24/00:00,2018/08/25/18:30,0.0,0.044537783
2018/08/24/00:00,2018/08/25/18:45,0.0,0.044537783
2018/08/24/00:00,2018/08/25/19:00,0.0,0.051321507
2018/08/24/00:00,2018/08/25/19:15,0.0,0.051321507
2018/08/24/00:00,2018/08/25/19:30,0.0,0.051321507
2018/08/24/00:00,2018/08/25/19:45,0.0,0.051321507
2018/08/24/00:00,2018/08/25/20:00,0.0,0.051321507
